doc_id,permit_num,already_downloaded,name,votes,agents,reasons
871000,13-28119-NEWC,False,6262 Pontchartrain Blvd A and B and C.pdf,2,a;b,a: Address and unit PDF for new mixed-use construction likely contains architectural floor plans. || b: Address and unit A/B/C PDF is likely the architectural plan set for the mixed-use building.
4488134,19-37598-RNVS,False,610-616 Baronne - Combined Set.pdf,2,a;b,a: Combined set for major renovation likely contains architectural floor plans. || b: Combined set is likely the full architectural drawing package with floor plans.
5480819,21-35659-RNVS,False,approved Touro Napoleon Imaging_PERMIT DRAWINGS.pdf,2,a;b,a: Approved permit drawings for a large interior renovation likely include architectural floor plans. || b: Approved permit drawings for the interior renovation likely contain floor plans.
5888617,22-03626-RNVS,False,ARC 221209_1578MAGAZINE.pdf,2,a;b,a: ARC/address PDF for tenant improvement likely contains architectural plan sheets. || b: ARC-labeled address PDF is likely an architectural drawing set for the tenant improvement.
8707223,25-12293-RNVN,False,"2025.11.19 - 240 Royal VCC APPROVED CoU, millwork (RCC).pdf",2,a;b,a: VCC-approved change-of-use and millwork RCC PDF likely includes interior plan or millwork sheets. || b: VCC-approved change-of-use and millwork RCC PDF likely includes architectural/interior sheets.
8905136,25-38521-RNVS,False,260211 - 4041 Magazine - Revised Sheets.pdf,2,a;b,a: Revised sheets likely contain updated architectural plan content not covered by the base downloaded set. || b: Revised sheets likely contain updated architectural plan pages.
9093060,25-37680-RNVS,False,2026.04.13_202510_610 Frenchmen Street_CD100-compressed.pdf,2,a;b,a: CD100 construction document PDF is likely the architectural plan set for the renovation. || b: CD100 construction-document PDF is likely the main architectural drawing package.
1063205,12COM-00404,False,12com-00404 Stamped Plans.pdf,2,a;b,a: Stamped plans for a new restaurant likely contain architectural floor plans. || b: Stamped plans likely contain architectural drawings and floor plans.
1317305,14-09738-NEWC,False,14-09738-NEWC stamped and approved plans.pdf,2,a;b,a: Stamped and approved plans are a strong architectural plan-set candidate. || b: Stamped and approved plans are the best complete plan-set candidate.
3841957,19-03633-NEWC,False,1320 Magazine - RCC Stamped.pdf,2,a;b,a: RCC stamped PDF for an interior retail build-out is likely an approved architectural plan set. || b: RCC-stamped PDF for the suite build-out is the likely architectural/interior plan set.
4623600,20-01153-RNVS,False,200914_CHNO B9_Interior Scope.pdf,2,a;b,a: Interior Scope is directly relevant to interior/finish labeling. || b: Interior Scope is directly relevant to interior/finish plan labeling.
4719103,20-01153-RNVS,False,16027 CHNOLA B9 _Drawings Permit Set SP.pdf,2,a;b,a: Drawings permit set is a strong candidate for architectural floor plans. || b: Drawings Permit Set SP is likely a complete stamped plan set for Bldg 9.
5668032,22-23422-RNVS,False,2022.0725_02211_920 Poeyfarre_RENO - 100 CD.pdf,2,a;b,a: RENO - 100 CD appears to be a construction-document set likely containing floor plans and finish information. || b: RENO 100 CD PDF is likely a construction document set with floor plans and finish information.
7688118,24-33876-RNVN,False,2024 1101 VCC NOLA IFP ARCH 1 - A000-AS001 (RCC stamped).pdf,2,a;b,a: ARCH 1 is part of the stamped architectural set for an interior retail alteration. || b: RCC-stamped ARCH part 1 is part of the architectural set.
7688120,24-33876-RNVN,False,2024 1101 VCC NOLA IFP ARCH 2 - AS002-AS003 (RCC stamped).pdf,2,a;b,a: ARCH 2 is part of the stamped architectural set for an interior retail alteration. || b: RCC-stamped ARCH part 2 is part of the architectural set.
7688122,24-33876-RNVN,False,2024 1101 VCC NOLA IFP ARCH 3 - A001-A324 (RCC stamped).pdf,2,a;b,a: ARCH 3 includes A001-A324 sheets and likely contains floor plans and finish-related sheets. || b: RCC-stamped ARCH part 3 spans A001-A324 and likely contains floor plans/interior sheets.
7688138,24-33876-RNVN,False,2024 1101 VCC NOLA IFP ARCH 4 - A400-A700 (RCC stamped).pdf,2,a;b,a: ARCH 4 includes A400-A700 sheets and may contain interior elevations/schedules/details. || b: RCC-stamped ARCH part 4 spans A400-A700 and may contain details/schedules relevant to finishes.
